W1: 0.000734 L1: 4e-006    IC1: 0.999999    VDSsat1: 0.135546    gm1: 0.00175139
W2: 0.000734 L2: 4e-006    IC2: 0.999999    VDSsat2: 0.135546    gm2: 0.00175139
W3: 0.00356425 L3: 4e-006    IC3: 1.0164    VDSsat3: 0.135927    gm3: 0.00237576
W4: 0.00356425 L4: 4e-006    IC4: 1.0164    VDSsat4: 0.135927    gm4: 0.00237576
W5: 0.00036675 L5: 4e-006    IC5: 0.999999    VDSsat5: 0.135546    gm5: 0.000875691
W6: 0.00036675 L6: 4e-006    IC6: 0.999999    VDSsat6: 0.135546    gm6: 0.000875691
W7: 1.375e-005 L7: 1e-006    IC7: 9.95321    VDSsat7: 0.323427    gm7: 0.000245463
W8: 1.375e-005 L8: 1e-006    IC8: 9.95321    VDSsat8: 0.323427    gm8: 0.000245463
W9: 4.25e-006 L9: 1e-006    IC9: 9.99999    VDSsat9: 0.323643    gm9: 0.000269985
W10: 4.25e-006 L10: 1e-006    IC10: 9.99999    VDSsat10: 0.323643    gm10: 0.000269985
W11: 0.00118775 L11: 4e-006    IC11: 1.0164    VDSsat11: 0.135928    gm11: 0.000791918
W12: 1.375e-005 L12: 1e-006    IC12: 9.95321    VDSsat12: 0.323427    gm12: 0.000245463
W13: 0.000353 L13: 3.75e-006    IC13: 1.00653    VDSsat13: 0.13571    gm13: 0.000873975
W14: 0.000353 L14: 3.75e-006    IC14: 1.00653    VDSsat14: 0.13571    gm14: 0.000873975
W15: 0.00141225 L15: 3.75e-006    IC15: 1.00653    VDSsat15: 0.13571    gm15: 0.0034959
W16: 0.00035525 L16: 3.75e-006    IC16: 0.999999    VDSsat16: 0.135559    gm16: 0.000875556
W17: 0.0002475 L17: 2.75e-006    IC17: 0.999999    VDSsat17: 0.135756    gm17: 0.000873497
